SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/1/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/2/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/3/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/4/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/5/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/6/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/7/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/8/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/9/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
"Microsoft Azure Sponsorship","e88b120d-0e65-4bd2-89ba-9650c120c639","7/10/2025","23a50b0e-68ed-4e1c-9ef4-08567a0b1f6e","Storage","Standard Page Blob v2","IN Central","LRS Data Stored","19.87512","0.983808"
