"Project name","Toyflix"
"Date range","07/23/2025 12:00 AM - 07/29/2025 11:59 PM"


"Metric","Sessions"
"","Total sessions","2970"
"","Bot sessions","128"

"Metric","Pages per session"
"","Average","3.2582491582491584"

"Metric","Scroll depth"
"","Average","87.66"

"Metric","Active time spent"
"","Active time","109"
"","Total time","239"

"Metric","Users overview"
"","Unique users","2478"
"","Sessions with new users","2665"
"","Sessions with returning users","305"

"Metric","All users"
"","User id","No. of sessions","Country","Device"
"","lqu4o7","26","India","Mobile"
"","drx5rk","18","India","PC"
"","hgrlvz","10","India","PC"
"","rwusj5","9","India","Mobile"
"","t1w679","8","India","PC"
"","1xrkvlr","8","India","Mobile"
"","21pnlg","7","India","PC"
"","gyxv89","7","India","PC"
"","z3rjts","7","India","Mobile"
"","1vfus3g","7","India","Mobile"
"","9m6vr","6","India","Mobile"
"","azf18j","6","India","PC"
"","d037j2","6","India","PC"
"","o5drsa","6","India","Mobile"
"","q170me","6","India","Mobile"

"Metric","Insights","No. of sessions","% of sessions"
"","Rage clicks","15","0.51%"
"","Dead click","303","10.20%"
"","Excessive scrolling","5","0.17%"
"","Quick back click","35","1.18%"

"Metric","Browsers","No. of sessions","% of sessions"
"","InstagramApp","1485","50%"
"","ChromeMobile","767","25.82%"
"","Chrome","253","8.52%"
"","MobileSafari","218","7.34%"
"","FacebookApp","165","5.56%"
"","GoogleApp","26","0.88%"
"","SamsungInternet","25","0.84%"
"","Edge","23","0.77%"
"","Firefox","4","0.13%"
"","Opera","2","0.07%"
"","Safari","1","0.03%"
"","EdgeMobile","1","0.03%"

"Metric","Devices","No. of sessions","% of sessions"
"","Mobile","2686","90.44%"
"","PC","280","9.43%"
"","Tablet","4","0.13%"

"Metric","Top pages","No. of sessions"
"","https://toyflix.in/","2016"
"","https://toyflix.in/toys","1205"
"","https://toyflix.in/pricing","902"
"","https://toyflix.in/auth","652"
"","https://toyflix.in/dashboard","167"
"","https://toyflix.in/about","143"
"","https://www.toyflix.in/","115"
"","https://toyflix.in/subscription-flow","94"
"","https://toyflix.in/admin","76"
"","https://toyflix.in/toys/f7718636-2a1e-46e1-a2c9-f3f4098b5da5","62"
"","https://www.toyflix.in/toys","57"
"","https://www.toyflix.in/pricing","53"

"Metric","Countries","No. of sessions","% of sessions"
