id,name,description,category,age_range,brand,retail_price,rental_price,image_url,available_quantity,total_quantity,rating,created_at,updated_at,pack,min_age,max_age,show_strikethrough_pricing,display_order,is_featured,subscription_category,sku
a1a78279-5521-4518-bf55-b33c85efdfd6,101 Family Game,"101 Family Game: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent 101 Family Game now and give your child a fun and educational playtime. 101 Family Game is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 101 Family Game is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 101 Family Game is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 101 Family Game is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",stem_toys,6-8 years,,1199.00,299.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217151238-101_Family_Game.jpg,5,5,4.00,2025-06-18 03:25:51.468935+00,2025-06-18 03:25:51.468935+00,standard,6,8,true,9999,false,stem_toys,5TF030
5c67be16-b0a0-49dc-a2ad-4b8d647dccf3,123 Tracing board,"123 Tracing board: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent 123 Tracing board now and give your child a fun and educational playtime. 123 Tracing board is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 123 Tracing board is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 123 Tracing board is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 123 Tracing board is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",stem_toys,"3-4 years, 4-6 years",,799.00,199.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217171175-123_Tracing_board.jpg,10,10,4.00,2025-06-18 03:26:11.506905+00,2025-06-18 03:26:11.506905+00,standard,3,4,true,9999,false,stem_toys,3TF035
e3df323e-0da1-4dd2-8e59-02c4c572487a,199 Animal Stories Book,"Here is a book with 199 exciting, fun stories for little ones. Each of the short, sweet stories in this wonderful book comes with a cute, colourful illustration and will delight and charm young, imaginative story-lovers.",books,"2-3 years, 3-4 years",,350.00,87.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217191918-199_Animal_Stories_Book.jpg,0,0,4.00,2025-06-18 03:26:32.172541+00,2025-06-18 03:26:32.172541+00,standard,2,3,true,9999,false,books,
016927b8-b25f-476c-9d52-2a960ccdd3e3,199 Bedtime Stories Book,"Here is a book with 199 exciting, fun stories for little ones. Each of the short, sweet stories in this wonderful book comes with a cute, colourful illustration and will delight and charm young, imaginative story-lovers.",books,"2-3 years, 3-4 years",,0.00,0.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217195857-199_Bedtime_Stories_Book.jpg,21,21,4.00,2025-06-18 03:26:36.091785+00,2025-06-18 03:26:36.091785+00,standard,2,3,true,9999,false,books,
fc3cf7de-bddd-496a-8b53-f04d9b2ac0ef,199 Moral Stories Book,"Here is a book with 199 exciting, fun stories for little ones. Each of the short, sweet stories in this wonderful book comes with a cute, colourful illustration and will delight and charm young, imaginative story-lovers.",books,"1-2 years, 2-3 years",,300.00,75.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217194754-199_Moral_Stories_Book.jpg,4,4,4.00,2025-06-18 03:26:35.026586+00,2025-06-18 03:26:35.026586+00,standard,1,2,true,9999,false,books,
859917b4-0ff8-4af9-946b-022ece51323a,199 Stories from Around the World Book,"Whether you're looking for bedtime stories to soothe your little one to sleep, educational tales that make learning fun, our storybooks for kids are the perfect choice.",books,3-4 years,,300.00,75.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217196894-199_Stories_from_Around_the_World_Book.jpg,5,5,4.00,2025-06-18 03:26:37.116344+00,2025-06-18 03:26:37.116344+00,standard,3,4,true,9999,false,books,
38567087-4bc6-43e1-8f99-a77b85f26d0d,2 in 1 Musical Learning Table,,developmental_toys,"1-2 years, 2-3 years",,3699.00,924.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217218842-2_in_1_Musical_Learning_Table.png,0,0,4.00,2025-06-18 03:26:59.243803+00,2025-06-18 03:26:59.243803+00,standard,1,2,true,9999,false,educational_toys,
b65b064b-8c0c-4c76-a153-0764c0a56fa1,2-in-1 Musical Jam Playmat,"2-in-1 Musical Fun – Combines a piano keyboard and drum sounds for an engaging musical experience. Interactive Sound Play – Touch-sensitive keys & drum pads produce real instrument sounds for creative play. Educational & Stimulating – Helps develop auditory skills, hand-eye coordination, and rhythm recognition. Vibrant & Kid-Friendly Design – Multi-colored playmat with fun graphics, lights, and cheerful tunes. Perfect Gift for Kids – Great for newborns, toddlers, and young children to explore music & creativity!",big_toys,3-4 years,,3599.00,899.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217233661-2_in_1_Musical_Jam_Playmat.png,0,0,4.00,2025-06-18 03:27:13.919498+00,2025-06-18 03:27:13.919498+00,big,3,4,true,9999,false,big_toys,
0d58b2a5-87db-4c24-a006-df7aa3b7cbab,2in1 Baby Piano Xylophone Toy for Kids,"2in1 Baby Piano Xylophone Toy for Kids: This toy is designed to engage and develop essential skills in kids. At Toyflix, we make it easy to rent this toy with doorstep delivery and affordable pricing. Rent 2in1 Baby Piano Xylophone Toy for Kids now and give your child a fun and educational playtime. 2in1 Baby Piano Xylophone Toy for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 2in1 Baby Piano Xylophone Toy for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 2in1 Baby Piano Xylophone Toy for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings. 2in1 Baby Piano Xylophone Toy for Kids is designed to support creativity, improve motor skills, and encourage interactive play. This toy helps children develop essential thinking and social skills in a fun and engaging way. Parents can rest assured as the materials used are safe, durable, and suitable for kids. It promotes creative play, allowing children to explore different ways to use it, thereby enhancing problem-solving abilities. The toy is perfect for indoor as well as outdoor use, making it flexible for various play settings.",developmental_toys,"1-2 years, 2-3 years",,649.00,162.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217229029-2in1_Baby_Piano_Xylophone_Toy_for_Kids.webp,3,3,4.00,2025-06-18 03:27:09.227687+00,2025-06-18 03:27:09.227687+00,standard,1,2,true,9999,false,educational_toys,
baa38cea-5de0-48ca-b856-426543f2798f,365 Adventure Stories Book,"Adventure, mystery and excitement; stories in this book would not let readers keep it down without finishing the whole book. Stories are selected especially for our young readers and written in a simple language. Colourful pictures support the stories and make the children feel connected with the stories.",books,"4-6 years, 6-8 years",,600.00,150.00,https://wucwpyitzqjukcphczhr.supabase.co/storage/v1/object/public/toy-images/toys/1750217203464-365_Adventure_Stories_Book.jpg,6,6,4.00,2025-06-18 03:26:43.818397+00,2025-06-18 03:26:43.818397+00,standard,4,6,true,9999,false,books,
